
Jake Walman-EDM
Liam O'Brien-UTA
Dmitri Voronkov-CBJ
Brad Marchand-FLA
Morgan Geekie-BOS
Aliaksei Protas-WSH
Connor McMichael-WSH
Sean Couturier-PHI
Jonathan Marchessault-NSH
Tyler Tucker-STL
Erik Karlsson-PIT
Seth Jones-FLA
Alexander Wennberg-SJS
Frank Vatrano-ANA
Troy Terry-ANA
Cole Sillinger-CBJ
Jake DeBrusk-VAN
Stefan Noesen-NJD
Brandon Montour-SEA
Kent Johnson-CBJ
Luke Hughes-NJD
David Gustafsson-WPG
Jackson LaCombe-ANA
Jason Zucker-BUF
Shayne Gostisbehere-CAR
Trevor Moore-LAK
Warren Foegele-LAK
Mike Matheson-MTL
Marco Kasper-DET
Patrick Kane-DET
Logan Stankoven-CAR
Tyler Bertuzzi-CHI
Morgan Frost-CGY
Ryan McLeod-BUF
Dawson Mercer-NJD
Nick Foligno-CHI
Fabian Zetterlund-OTT
Ryan Strome-ANA
Jake Evans-MTL
Nicolas Deslauriers-PHI
Andrei Kuzmenko-LAK
Leo Carlsson-ANA
Teuvo Teravainen-CHI
Bowen Byram-BUF
Maxim Tsyplakov-NYI
Will Smith-SJS
Yanni Gourde-TBL
Kiefer Sherwood-VAN
Cam Fowler-STL
Noah Hanifin-VGK
Nick Paul-TBL
Jackson Blake-CAR
Mason Lohrei-BOS
Michael Bunting-NSH
Brandt Clarke-LAK
Ivan Provorov-CBJ
Oliver Bjorkstrand-TBL
Brady Skjei-NSH
Patrik Laine-MTL
Nils Aman-VAN
Nic Dowd-WSH
John Hayden-SEA
Ross Colton-COL
Taylor Hall-CAR
Bobby Brink-PHI
Casey Mittelstadt-BOS
Evan Rodrigues-FLA
Joey Anderson-CHI
Cutter Gauthier-ANA
Kaapo Kakko-SEA
Mathieu Olivier-CBJ
J.T. Compher-DET
Darren Raddysh-TBL
Cale Fleury-SEA
Jiri Kulich-BUF
Mackie Samoskevich-FLA
Brendan Gallagher-MTL
Jacob Bryson-BUF
Yegor Sharangovich-CGY
Boone Jenner-CBJ
Jake Middleton-MIN
Mikey Anderson-LAK
Philip Broberg-STL
Nick Blankenburg-NSH
Filip Chytil-VAN
Alex Killorn-ANA
Scott Laughton-TOR
Rasmus Sandin-WSH
Connor Zary-CGY
Frank Nazar-CHI
Marcus Pettersson-VAN
Reilly Smith-VGK
Niko Mikkola-FLA
Oliver Ekman-Larsson-TOR
Max Domi-TOR
Ilya Mikheyev-CHI
Kaiden Guhle-MTL
Kevin Stenlund-UTA
Spencer Stastney-NSH
Ryan McDonagh-TBL
Mario Ferraro-SJS
Alex Newhook-MTL
Alex Iafallo-WPG
Dante Fabbro-CBJ
Olen Zellweger-ANA
Josh Anderson-MTL
Teddy Blueger-VAN
Kevin Bahl-CGY
Adam Henrique-EDM
Ben Hutton-VGK
Eric Robinson-CAR
Drew O'Connor-VAN
Erik Cernak-TBL
Kirby Dach-MTL
Sean Walker-CAR
Nikita Zadorov-BOS
Brandon Duhaime-WSH
Matt Roy-WSH
Parker Kelly-COL
Joel Farabee-CGY
Joel Edmundson-LAK
Vasily Podkolzin-EDM
Brett Pesce-NJD
Alexandre Carrier-MTL
Martin Pospisil-CGY
Jacob Trouba-ANA
Zach Benson-BUF
Jack Drury-COL
Nick Jensen-OTT
Timothy Liljegren-SJS
Oskar Sundqvist-STL
Ian Cole-UTA
Tony DeAngelo-NYI
Noel Acciari-PIT
Radko Gudas-ANA
David Perron-OTT
Damon Severson-CBJ
Brandon Saad-VGK
Cody Glass-NJD
Conor Geekie-TBL
Ondrej Palat-NJD
Jamie Drysdale-PHI
Justin Barron-NSH
Ryker Evans-SEA
Michael Amadio-OTT
Trent Frederic-EDM
Brenden Dillon-NJD
Kevin Hayes-PIT
Sean Durzi-UTA
Anthony Beauvillier-WSH
Paul Cotter-NJD
Fedor Svechkov-NSH
Dmitry Kulikov-FLA
J.J. Moser-TBL
Pavel Mintyukov-ANA
Philip Tomasino-PIT
Zachary L'Heureux-NSH
Danton Heinen-PIT
Drew Doughty-LAK
Yegor Chinakhov-CBJ
Yakov Trenin-MIN
Brandon Carlo-TOR
Garnet Hathaway-PHI
Alex Turcotte-LAK
Will Borgen-NYR
Sam Carrick-NYR
Ilya Lyubushkin-DAL
Carson Soucy-NYR
Sam Steel-DAL
Mavrik Bourque-DAL
Mark Kastelic-BOS
Chris Tanev-TOR
Mark Jankowski-CAR
Jesper Boqvist-FLA
Jonas Rondbjerg-VGK
Simon Benoit-TOR
Joel Kiviranta-COL
William Carrier-CAR
Sam Malinski-COL
Drew Helleson-ANA
John Marino-UTA
Aatu Raty-VAN
Adam Ginning-PHI
Uvis Balinskis-FLA
Andrew Peeke-BOS
Emil Lilleberg-TBL
A.J. Greer-FLA
Denton Mateychuk-CBJ
Nick Cousins-OTT
Ty Emberson-EDM
Jonas Siegenthaler-NJD
Gage Goncalves-TBL
Henri Jokiharju-BOS
Barclay Goodrow-SJS
Mitchell Chaffee-TBL
Trevor van Riemsdyk-WSH
Connor Dewar-PIT
Erik Gustafsson-DET
Colin Miller-WPG
Jayden Struble-MTL
Blake Lizotte-PIT
Emil Andrae-PHI
Derek Forbort-VAN
John Beecher-BOS
Mathieu Joseph-STL
Anthony Duclair-NYI
Zach Bogosian-MIN
Brayden Pachal-CGY
Vinnie Hinostroza-MIN
Joel Hanley-CGY
Colin Blackwell-DAL
Collin Graf-SJS
Luke Schenn-WPG
Ville Koivunen-PIT
Nicholas Robertson-TOR
Sam Rinzel-CHI
Elmer Soderblom-DET
Steven Lorentz-TOR
Juuso Parssinen-NYR
Adam Boqvist-NYI
Jack Thompson-SJS
Sam Colangelo-ANA
Albert Johansson-DET
Urho Vaakanainen-NYR
Arber Xhekaj-MTL
Beck Malenstyn-BUF
Alexander Holtz-VGK
Daniil Miromanov-CGY
Jordan Oesterle-NSH
Tye Kartye-SEA
Lian Bichsel-DAL
Rasmus Kupari-WPG
Ty Dellandrea-SJS
Alexandre Texier-STL
Adam Klapka-CGY
Kyle MacLean-NYI
Kasperi Kapanen-EDM
Shakir Mukhamadullin-SJS
Zemgus Girgensons-TBL
Vincent Desharnais-SJS
Brett Berard-NYR
Jani Nyman-SEA
Marc Gatcomb-NYI
Matthew Poitras-BOS
Carl Grundstrom-SJS
Ethen Frank-WSH
Tomas Nosek-FLA
Fraser Minten-BOS
Ivan Ivan-COL
Samuel Helenius-LAK
Philippe Myers-TOR
Kailer Yamamoto-UTA
Marat Khusnutdinov-BOS
Artyom Levshunov-CHI
Linus Karlsson-VAN
Jansen Harkins-ANA
Jonah Gadjovich-FLA
Ryan Graves-PIT
Seamus Casey-NJD
Ivan Miroshnichenko-WSH
Dennis Cholowski-NJD
Adam Wilsby-NSH
Jimmy Snuggerud-STL
Ryan Lomberg-CGY
Cole Schwindt-VGK
Haydn Fleury-WPG
Matt Rempe-NYR
Luca Del Bel Belluz-CBJ
Tyson Kozak-BUF
Adam Edstrom-NYR
Louis Crevier-CHI
Nikolas Matinpalo-OTT
Ivan Demidov-MTL
Jake Bean-CGY
Colton Dach-CHI
Anthony Richard-PHI
Troy Stecher-EDM
Justin Holl-DET
Victor Mancini-VAN
Jacob Moverare-LAK
Zack Ostapchuk-SJS
Rutger McGroarty-PIT
Nolan Allan-CHI
